jj,file,sentence,decision,rationale,binary_decision,jj_category,privacy
nuanced,9834781,We will apply focused ethnography to obtain an intensive and nuanced understanding of the nurse navigator ?,HYPE,"['gratuitous', 'coordinated']",1,rigour,No
powerful,9903046,The primary care coalition is designed as a powerful resource for the study of mechanisms responsible for chronic disease disparities and developing interventions uniquely effective in these high-risk populations .,HYPE,['gratuitous'],1,rigour,No
unparalleled,9534908,"As a result , Dr. A  has an unparalleled view of laboratory based aging research at Institute B to enhance mentee research training and career development of junior investigators .",HYPE,['hyperbolic'],1,novelty,Yes
quality,9860144,"Absent such tools , quality improvement is hampered .",NOT HYPE,[],0,rigour,No
strong,9414747,"If rats trained to better tolerate delayed rewards self - administer less cocaine than control rats when non-drug rewards are increasingly delayed , then this would provide strong evidence for delay discounting as causal in the choice to consume a drug of abuse .",NOT HYPE,[],0,rigour,No
rigorous,9790612,"Through leadership , collaboration , and extensive coordination , the Administration Core will continue to accomplish Project 's aims and scientific initiatives , and ensure that Project continues to be a cohesive , rigorous , and innovative study .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,Yes
strong,9228681,"Guided by strong preliminary data , we will approach this hypothesis from 3 complementary angles :",HYPE,['gratuitous'],1,rigour,No
first,9146992,"The first problem emerges from a lack of ability to target activity indicators to specific cells that are few enough in number so that their morphology and physical connectivity could be determined in a densely packed environment , to then permit the physical picture to be related to activity and connectivity .",NOT HYPE,[],0,novelty,No
unprecedented,9556945,"To achieve this unprecedented goal , our team of experts in sEMG - based subvocal speech recognition at Organization_A , Inc will partner with Organization_B , the world ?",HYPE,['hyperbolic'],1,novelty,Yes
scientific,9571386,"Database was created to enhance the value of scientific data related to the genes and genomes of sea urchins and other echinoderms and to serve as a centralized , definitive resource for information related to these important model organisms .",HYPE,['gratuitous'],1,rigour,Yes
rigorous,9230337,"The proposed study will use data from the Organization insurance claims databases ( 2004 - 2013 ) linked to laboratory test results , and utilize a number of rigorous and innovative approaches for pharmacoepidemiologic research and causal inference to study the effects of XOI on MI and T2DM risks .",HYPE,"['gratuitous', 'coordinated']",1,rigour,Yes
advanced,9410948,"To inform interventions , advanced network analyses will overlay risk networks with PROJECT phylogenetic transmission data to show where HCV has been and predict where it is going .",HYPE,['gratuitous'],1,rigour,Yes
reproducible,9460251,"Toward our long - term goal of achieving comprehensive models , we will make models understandable , reproducible , reusable , and composable by ( 1 ) developing these missing model building , annotation , and simulation tools and ( 2 ) combining these and other existing tools into a user- friendly reproducible modeling workflow .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
nuanced,9825279,Our proposal is SIGNIFICANT because of the unmet need for a more nuanced approach to identify subsets of NAFLD where a more tailored approach might inform strategies for prevention and reversal of NASH / fibrosis and HCC .,HYPE,['gratuitous'],1,rigour,No
powerful,9528183,"Moreover , the PIs have developed multiple innovative methods for powerful hypothesis testing .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
novel,9585444,"The rationale for this proposal is that in view of the shortcomings and significant toxicities associated with allo- SCT , balanced by the susceptibility of AML to immunotherapy ( i.e. allo-SCT ) , there is a critical need to develop novel immunotherapies to achieve disease elimination with minimal off - target toxicity .",HYPE,['gratuitous'],1,novelty,No
detailed,9296484,"Each baboon is the subject of individual - based research by the Research Project , which has been collecting detailed demographic and behavioral data on known wild baboons in the ecosystem in Country_A since 1971 .",HYPE,['gratuitous'],1,rigour,Yes
groundbreaking,10121141,"To address several complex issues facing AD / ADRD research , including disease etiology as well as the development of improved diagnostics and treatment strategies , investigators require access to a unique human tissue resource that could provide rigorous and uniform collection of human biospecimens from defined cohorts of both post mortem AD / ADRD donors and living AD / ADRD patients to yield consistent and reproducible experimental results for inventive and groundbreaking studies .",HYPE,"['hyperbolic', 'coordinated']",1,novelty,No
sophisticated,9868724,"In order to better understand the mechanism of DR - 18 immunotherapy and enable its translation into the clinic , we propose to leverage a comprehensive series of sophisticated , genetically - defined syngeneic mouse models of melanoma called YUMM and YUMMER that we have developed .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
careful,9362390,"In addition , we have made a more careful study of the zfp703 zebrafish morphant phenotype .",HYPE,['gratuitous'],1,rigour,No
reproducible,9354137,"Because of this reimplementation and a lack of open standards , much of the published literature on medical image reconstruction is not reproducible .",NOT HYPE,[],0,rigour,No
revolutionary,10120245,"In the past decade , we have witnessed a revolutionary progress in camera technology and the attainable resolution of macromolecular assemblies via cryogenic electron microscopy ( cryo - EM ) and in the development of computational algorithms that relate the resulting 3D maps to atomic resolution structures .",HYPE,['hyperbolic'],1,novelty,No
first,9432313,"In a first step , I will investigate the effects of silencing different cell types and pathways within this circuit on functional connectivity and behavioral measures .",NOT HYPE,[],0,novelty,No
robust,9756511,"Importantly , we revealed that robust production of type I IFN by pDCs requires the presence of CD169 + macrophages ( CD169 + MP ) and the adapter molecule for cytoplasmic DNA sensing ?",NOT HYPE,[],0,rigour,No
reproducible,9594002,"Remarkably , all of the sensory neurons that have chosen the same odorant receptor to express extend axons that converge together in specific reproducible locations within the olfactory bulb .",NOT HYPE,[],0,rigour,No
nuanced,9910957,"Thus , difficulty learning from nuanced interactions may potentiate SA .",NOT HYPE,[],0,rigour,No
unique,9104224,Neurons are highly compartmentalized cells that require unique mechanisms for trafficking proteins and organelles to their specific compartments .,NOT HYPE,[],0,novelty,No
emerging,9089877,DESCRIPTION ( provided by applicant ) : Salmonella enterica serovar Typhimurium ( ST ) is a leading cause of gastroenteritis in the United States and an emerging cause of invasive non- typhoidal salmonella in sub -Saharan Africa .,NOT HYPE,[],0,novelty,No
revolutionary,9774043,Native top down mass spectrometry ( nTDMS ) is a multi-tiered tandem mass spectrometry technique able to characterize proteoforms and intact protein complexes in their native state and represents a potentially revolutionary technology still in the ?,HYPE,['hyperbolic'],1,novelty,No
systematic,9383344,"Study_A , which is the most ambitious systematic effort to discover biomarkers to guide treatment of major depressive disorder , has collected and made publicly available an unprecedented collection of clinical and biological patient phenotypes .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,Yes
cohesive,9228371,"The ideal adhesive for sealing iatrogenic membrane defects needs to have high cohesive strength within the material itself , as well as strong adhesion to wet membrane surfaces .",NOT HYPE,[],0,rigour,No
revolutionary,9274389,"The mission of the Center is to develop revolutionary technologies that enable the direct visualization and functional profiling of human regulatory regions at the resolution of individual chromatin templates in intact cells , and to leverage the extraordinary cell selectivity and information content of regulatory DNA to pioneer novel biological and translational applications .",HYPE,"['hyperbolic', 'broader context']",1,novelty,Yes
first,9158909,"To our knowledge , this is the first time that massive static data is used to study dynamic aspects of microbial communities .",HYPE,"['priority claim', 'broader context']",1,novelty,No
revolutionary,10146013,"Title : Center is tasked with development and application of revolutionary technology for making dramatic , coordinated changes to extensive gene loci , which will enable broad investigation of the function of regulatory sequences and foster translational applications to biotechnology , personalized medicine and gene therapy .",HYPE,"['hyperbolic', 'broader context']",1,novelty,Yes
emerging,9457793,The elucidation of mechanisms that can generate such complexities is an emerging field .,NOT HYPE,[],0,novelty,No
nuanced,9658030,Subsequent work from our lab and others has extended these results to Drosophila and revealed an increasingly nuanced relationship between sensory perception and aging .,HYPE,"['gratuitous', 'amplified']",1,rigour,No
careful,9922412,"Furthermore , anti-seizure drug therapies are associated with significant adverse effects and often require careful titration to achieve efficacy while minimizing disabling side effects .",HYPE,['gratuitous'],1,rigour,No
unique,9244000,"Enhanced immunity and blockage of immune checkpoints has transformed cancer treatment , thus such a molecule would provide a unique combination therapy with approved anti-PD - 1 molecules for treatment of cancer .",HYPE,['gratuitous'],1,novelty,No
novel,9456462,Accomplishing the experiments as proposed will provide novel answers as to the translational potential of CX3CL1 in AD treatment .,HYPE,['gratuitous'],1,novelty,No
careful,9078869,"This proposal builds on a two decade history of work to define protective antigens of T. pallidum , including optimized methods for recombinant antigen production ( soluble pallilysin and refolded TprK and Tpr subfamily I ) ; structural analyses to establish that recombinant proteins are in a close - to - native conformation ; genomics - based knowledge of epitopes conserved among strains of T. pallidum ; careful adjuvant selection to ensure use of a human-approved formulation that generates the required humoral and cellular immunity ; and identification of possible correlates of protection .",HYPE,['gratuitous'],1,rigour,No
powerful,9832438,Functional connectivity ( FC ) as measured by magnetic resonance imaging ( fcMRI ) provides a powerful and noninvasive tool to probe the systems - level features of IDDs and resample an individual at multiple developmental timepoints .,HYPE,['gratuitous'],1,rigour,No
accurate,10041946,"In all cases , we will apply definitive and accurate deep sequencing - based analysis of somatic editing rates , along with assessment of germline transmission to identify optimal parameters that are generalizable across all targets .",HYPE,['gratuitous'],1,rigour,No
emerging,9229124,Repetitive transcranial magnetic stimulation ( rTMS ) is an emerging technology for the treatment of neurological and psychiatric illnesses .,NOT HYPE,[],0,novelty,No
powerful,9080392,"In order to translate the wealth of information into DSL discovery , powerful statistical methodology is required .",HYPE,['gratuitous'],1,rigour,No
unprecedented,9824779,"PI and his team at the University have developed a new MRI technique , leads to quantifiable positive contrast images of the vasculature with unprecedented clarity and definition .",HYPE,['hyperbolic'],1,novelty,Yes
unique,9817105,"The System , built via funding from an NIH transformative R01 award , is a unique PET / CT scanner that offers : ( 1 ) an axial field of view that covers the whole adult human body in one shot ; ( ii ) significant radiation dose reduction compared to current PET / CT protocols ; ( 3 ) scans of the entire body in under 1 min ; and ( 4 ) ability to visualize small structure and joints that is significantly better than current PET / CT systems .",HYPE,"['gratuitous', 'broader context']",1,novelty,Yes
sophisticated,9345088,System will allow screening for more sophisticated phenotypes than merely cell death .,NOT HYPE,[],0,rigour,No
